,datetime_event_began,NERC_region,area_affected,event_type,demand_loss_(MW),number_of_customers_affected,datetime_of_restoration,datetime_of_restoration_cleaned,datetime_event_began_cleaned
0,2002-01-30 06:00:00,SPP,Oklahoma,Ice Storm,500,1881134,2002-02-07 12:00:00,2002-02-07 12:00:00,2002-01-30 06:00:00
1,2002-01-29 20:00:00,SPP,Metropolitan Kansas City Area,Ice Storm,500,270000,,,2002-01-29 20:00:00
2,2002-01-30 16:00:00,SPP,Missouri,Ice Storm,210,95000,2002-02-10 21:00:00,2002-02-10 21:00:00,2002-01-30 16:00:00
3,2002-02-27 10:48:00,WSCC,California,Interruption of Firm Load,300,255000,2002-02-27 11:35:00,2002-02-27 11:35:00,2002-02-27 10:48:00
4,2002-03-09 00:00:00,ECAR,Lower Peninsula of Michigan,Severe Weather,190,190000,2002-03-11 12:00:00,2002-03-11 12:00:00,2002-03-09 00:00:00
5,2002-04-08 15:00:00,WSCC,Arizona,Vandalism/,0,0,2002-04-09 00:00:00,2002-04-09 00:00:00,2002-04-08 15:00:00
6,2002-07-09 12:27:00,WSCC,California,Interruption of Firm Power,240,0,2002-07-09 19:54:00,2002-07-09 19:54:00,2002-07-09 12:27:00
7,2002-07-19 11:51:00,WSCC,California,Interruption of Firm Power (Unit Tripped),240,0,2002-07-19 16:30:00,2002-07-19 16:30:00,2002-07-19 11:51:00
8,2002-07-20 12:40:00,NPCC,New York,Fire,278,63500,2002-07-20 20:12:00,2002-07-20 20:12:00,2002-07-20 12:40:00
9,2002-08-02 12:43:00,MAIN,Illinois,Interruption of Firm Power,232,53565,2002-08-02 18:36:00,2002-08-02 18:36:00,2002-08-02 12:43:00
10,2002-08-09 08:23:00,SERC,Florida,Interruption of Firm Power,51,25000,2002-08-09 12:13:00,2002-08-09 12:13:00,2002-08-09 08:23:00
11,2002-08-25 03:41:00,WSCC,California,Interruption of Firm Power,120,0,2002-08-25 09:17:00,2002-08-25 09:17:00,2002-08-25 03:41:00
12,2002-08-28 14:09:00,SERC,Florida,Severe Weather,67.6,25000,2002-08-28 15:38:00,2002-08-28 15:38:00,2002-08-28 14:09:00
